[  2] 5000  Q:971607  E: 25498  H: 25498  D: 24104  I:24040  R: 2047  C:45224  L:  70K
*** crawling 554.3 pps @ 23.00789 Mbps
*** crawling 34.5 pps @ 0.70457 Mbps
[262] 89  Q:     0  E:999912  H:989320  D:793672  I:773560  R: 2883  C:59622  L:  91K
*** crawling 5.5 pps @ 0.16654 Mbps
[264] 89  Q:     0  E:999912  H:989320  D:793672  I:773560  R: 2883  C:59622  L:  91K
*** crawling 0.0 pps @ 0.00000 Mbps
[267] 88  Q:     0  E:999913  H:989321  D:793673  I:773561  R: 2883  C:59622  L:  91K
*** crawling 0.5 pps @ 0.00202 Mbps
[269] 87  Q:     0  E:999914  H:989322  D:793674  I:773562  R: 2883  C:59623  L:  91K
*** crawling 0.5 pps @ 0.00396 Mbps
[271] 87  Q:     0  E:999914  H:989322  D:793674  I:773562  R: 2883  C:59623  L:  91K
*** crawling 0.0 pps @ 0.00000 Mbps
[273] 86  Q:     0  E:999915  H:989323  D:793675  I:773563  R: 2883  C:59624  L:  91K
*** crawling 0.5 pps @ 0.00379 Mbps
[275] 85  Q:     0  E:999916  H:989324  D:793676  I:773564  R: 2883  C:59625  L:  91K
*** crawling 0.5 pps @ 0.01613 Mbps
[278] 84  Q:     0  E:999917  H:989325  D:793677  I:773565  R: 2883  C:59626  L:  91K
*** crawling 0.5 pps @ 0.00396 Mbps
[281] 82  Q:     0  E:999919  H:989327  D:793679  I:773567  R: 2883  C:59628  L:  91K
*** crawling 1.0 pps @ 0.00775 Mbps
[283] 79  Q:     0  E:999922  H:989330  D:793682  I:773570  R: 2883  C:59631  L:  91K
*** crawling 1.5 pps @ 0.00908 Mbps
[286] 77  Q:     0  E:999924  H:989332  D:793684  I:773572  R: 2883  C:59633  L:  91K
*** crawling 1.0 pps @ 0.00627 Mbps
[289] 76  Q:     0  E:999925  H:989333  D:793685  I:773573  R: 2883  C:59634  L:  91K
*** crawling 0.5 pps @ 0.05259 Mbps
[291] 75  Q:     0  E:999926  H:989334  D:793686  I:773574  R: 2883  C:59635  L:  91K
*** crawling 0.5 pps @ 0.00324 Mbps
[294] 75  Q:     0  E:999926  H:989334  D:793686  I:773574  R: 2883  C:59635  L:  91K
*** crawling 0.0 pps @ 0.00000 Mbps
[298] 75  Q:     0  E:999926  H:989334  D:793686  I:773574  R: 2883  C:59635  L:  91K
*** crawling 0.0 pps @ 0.00000 Mbps

Extracted 999927 URLs @ 3355/s
Looked up 793687 DNS names @ 2663/s
Attempted 2883 robots @ 9/s
Crawled 59636 pages @ 200/s(11.037932 MB)
Parsed 91024 links @ 305/s
HTTP codes : 2xx = 4913 3xx = 6814 4xx = 46873 5xx = 715  other = 321
